"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)
	"Alachua County, FL"	"12001"	"1979"	"1979"	"Jan"	"1"	62.90	41.91
	"Alachua County, FL"	"12001"	"1979"	"1979"	"Feb"	"2"	64.40	45.33
	"Alachua County, FL"	"12001"	"1979"	"1979"	"Mar"	"3"	72.54	51.11
	"Alachua County, FL"	"12001"	"1979"	"1979"	"Apr"	"4"	80.01	61.29
	"Alachua County, FL"	"12001"	"1979"	"1979"	"May"	"5"	82.52	66.55
	"Alachua County, FL"	"12001"	"1979"	"1979"	"Jun"	"6"	87.30	71.46
	"Alachua County, FL"	"12001"	"1979"	"1979"	"Jul"	"7"	90.35	77.47
	"Alachua County, FL"	"12001"	"1979"	"1979"	"Aug"	"8"	88.49	76.39
	"Alachua County, FL"	"12001"	"1979"	"1979"	"Sep"	"9"	84.56	73.42
	"Alachua County, FL"	"12001"	"1979"	"1979"	"Oct"	"10"	80.68	62.21
	"Alachua County, FL"	"12001"	"1979"	"1979"	"Nov"	"11"	74.34	54.74
	"Alachua County, FL"	"12001"	"1979"	"1979"	"Dec"	"12"	68.07	48.98
"Total"	"Alachua County, FL"	"12001"	"1979"	"1979"			78.09	60.98
	"Alachua County, FL"	"12001"	"1980"	"1980"	"Jan"	"1"	67.06	47.56
	"Alachua County, FL"	"12001"	"1980"	"1980"	"Feb"	"2"	63.71	43.53
	"Alachua County, FL"	"12001"	"1980"	"1980"	"Mar"	"3"	73.68	53.53
	"Alachua County, FL"	"12001"	"1980"	"1980"	"Apr"	"4"	77.15	57.54
	"Alachua County, FL"	"12001"	"1980"	"1980"	"May"	"5"	83.38	66.98
	"Alachua County, FL"	"12001"	"1980"	"1980"	"Jun"	"6"	88.14	71.66
	"Alachua County, FL"	"12001"	"1980"	"1980"	"Jul"	"7"	90.43	76.44
	"Alachua County, FL"	"12001"	"1980"	"1980"	"Aug"	"8"	89.77	76.23
	"Alachua County, FL"	"12001"	"1980"	"1980"	"Sep"	"9"	88.12	74.94
	"Alachua County, FL"	"12001"	"1980"	"1980"	"Oct"	"10"	80.17	60.93
	"Alachua County, FL"	"12001"	"1980"	"1980"	"Nov"	"11"	71.56	52.19
	"Alachua County, FL"	"12001"	"1980"	"1980"	"Dec"	"12"	65.47	44.79
"Total"	"Alachua County, FL"	"12001"	"1980"	"1980"			78.27	60.58
	"Alachua County, FL"	"12001"	"1981"	"1981"	"Jan"	"1"	59.66	35.40
	"Alachua County, FL"	"12001"	"1981"	"1981"	"Feb"	"2"	67.88	45.98
	"Alachua County, FL"	"12001"	"1981"	"1981"	"Mar"	"3"	70.10	48.13
	"Alachua County, FL"	"12001"	"1981"	"1981"	"Apr"	"4"	83.37	59.18
